cluster_id,position_name
497,Руководитель центра тестирования
498,Заведующий сектором досуговой работы
499,Юрист-консульт
500,Заведующая отделом
501,Ведущий специалист-эксперт отдела загс
502,Специалист ведению учета
503,Осветитель
504,Паспортист
505,Ведущий специалист-эксперт услугам информационно-коммуникационным технологиям
506,Врач общей практики
507,Консультант отдела контроля исполнения бюджетной
508,Редактор сайта
509,Старший фельдшер помощи
510,Заведующий отделением врач-челюстно-лицевой хирург
511,Первый заместитель министра строительства
512,Старший инстуктор-методист
513,Начальник отдела управления аграрной политики
514,Тех служащий
515,Заведующий отделением врач-аллерголог-иммунолог
516,Заместитель начальника управления государственных услуг
517,Заведующий отделением-врач-токсиколог
518,Начальник отдела жкх промышленности транспорта
519,Техник- слесарь
520,Заместитель начальник отдела обеспечения аппарата
521,Заместитель директора главный бухгалтер
522,Начальник инженерно-технического отдела
523,Преподаватель хореографии
524,Санитарка бак отд
525,Заведующий педиатр отд
526,Художник постановщик театр эстрадных миниатюр
527,Учитель классов
528,Аппаратчик химводоочистки
529,Специалист документации
530,Временно исполняющий обязанности начальника управления
531,Начальник отдела помощи отдельным категориям
532,Заведующий отделением врач-онколог
533,Ведущий специалист работе молодежью
534,Начальник отдела аграрной политики
535,Бухгалтер уровня внутридолжностной категории
536,Кастелянша
537,Заведующая отделением социально обслуживания
538,Санитарки
539,Заведующий отделением врач-нефролог
540,Заместитель директора эксплуатации сооружения
541,Вахтер гардеробщик
542,Ведущий экономист финансовой работе
543,Заместитель начальника отдела учета распределения
544,Методист отдела досуга
545,Тьютор молодой специалист
546,Начальник отдела
547,Заместитель начальника отдела центра занятости
548,Начальник центра
549,Врач-пульмонолог
550,Начальник отдела стоительства градостоительства дорожной
551,Машинист компрессорных установок
552,Консультант собрания
553,Классное руководитель-во фед
554,Водитель класса главы города курска
555,Главный бухгалтер
556,Электромеханик
557,Ведущий инспектор органа
558,Специалист снабжению
559,Начальник отдела расчетов юридическими физическими
560,Начальник отдела земельным ресурсам
561,Заведующий сектором
562,Уборщик отдела физкультуры спорта
563,Учитель музыки
564,Уборщик помощник
565,Инспектор организации трудоустройства учету населения
566,Машинист старший белья
567,Оператор оборудования отходов
568,Заведующая сектором электронных информационных ресурсов
569,Главный специалист документовед
570,Инструктор-методист физкультурно-спортивных организаций
571,Главный специал -эксперт
572,Инженер технике безопастности
573,Художественный руководитель ансамбля народных инструментов
574,Муз руководитель
575,Врач анест реан
576,Юрисконсульт
577,Специалист учету музейных предметов
578,Ведущий программист школьным информационный сетям
579,Учитель языка
580,Начальник отряда
581,Заместитель министра здравоохранения
582,Электромонт ремонту эксплуатации электрооборудования
583,Начальник отдела животноводства экономического развития
584,Делопроизводитель старший
585,Дирижер
586,Консультант вопросам социально-экономического развития учетной
587,Ведущий специалист-эксперт культуре спорту
588,Кух рабочая
589,Санитарка операционная
590,Специалист организации водоснабжения населения
591,Заведующий гаража
592,Начальник группы хозяйственного обеспечения
593,Техник эксплуотации оборудования газовых объектов
594,Кассир -контролер
595,Сторож
596,Экспедитор перевозке грузов
597,Ведущий специалист-эксперт охране окружающей среды
598,Заместитель главы вопросам
599,Руководитель главный редактор
600,Уборщица
601,Заведующий библиот
602,Заведующий отделом работы
603,Билетный кассир
604,Методист кино информатике
605,Заведующий отделением профилактики врач терапевт
606,Врач лабораторной диагностики
607,Экономист
608,Вожатый
609,Рабочий кухне
610,Заведующий пункт акушерка
611,Заведующий лабораторией
612,Санитар клинико лаборатории
613,Начальник участка
614,Водитель участку
615,Учитель оош
616,Акушер кабинета врача акушер-гинеколога
617,Врач-психотерапевт
618,Заместитель председателя комитета
619,Ведущий специалист службы протокола
620,Заведующий отделением врач-радиолог
621,Юристконсульт
622,Контролер кассир
623,Руководитель ансамбля
624,Заведующий столовой
625,Специалист делам молодежи спорта
626,Чтец мастер слова
627,Заведующая отделением пребывания
628,Начальник отдела выплате пособий детей
629,Специалист учету
630,Сестра участковая кабинета врача-терапевта
631,Начальник штаба
632,Специалист отдела экономики развития предпринимательства
633,Водитель машины
634,Уборщик помещения -ый пункт
635,Исполняющий обязанности заместителя главы управляющий
636,Ведущий специалист-эксперт отдела обеспечения города
637,Заведующий отд врач-инфекционист
638,Заместитель главы финансам экономике
639,Преподаватель теории фортепиано
640,Медпсихолог
641,Начальник управления аграрной политики охраны
642,Начальник кислородной службы
643,Санитарка мед персонала
644,Балетмейстер танца
645,Договор подряд
646,Заместитель директора учеб работе
647,Специалист отдела правовой организ кадровой
648,Главный специалист-эксперт назначению выплате ежемесячной
649,Ведущий специалист поддержки
650,Бухгалтер-кассир
651,Заместитель начальника отдела перспективных проектов
652,Главный консультант управления организации ветеринарных
653,Машинист-сцены
654,Начальник отдела
655,Заведующая отделом
656,Заведующий отделением врач паллиотивной помощи
657,Врач экстренный невролог
658,Инженер автоматизированным системам управления
659,Техник ремонту обслуживанию ср-в техники
660,Медицинска сестра процедурной
661,Совм преподаватель проф цикла
662,Консультант отдела мобилизационной работе
663,Старший инженер
664,Консультант архитектор
665,Врач бактериолог лаборатории
666,Врач венеролог
667,Санитарка ванщица
668,Водитель автобуса
669,Ведущий специалист отдела учета отчетности
670,Начальник отдела делопроизводства аппарата
671,Акушерка
672,Заместитель главы города фатежа
673,Заведующий
674,Плотник- столяр
675,Учитель вожатая
676,Главный специалист планово-экономического сектора
677,Начальник отдела архитектуры строительства жкх
678,Руководитель коллектива
679,Начальник отдела жкх транспорта связи
680,Начальник отдела хозяйственного обеспечения
681,Заведующий отделом работе детьми
682,Препод -организ основам безопасности жизнедеятельности
683,Консультант главный бухгалтер
684,Санитар кабинета
685,Врач-отоларинголог
686,Руководитель оркестровой студии
687,Секретарь-делопроизводитель
688,Врач спортивной медицине
689,Репетитор вокалу
690,Врач дерматолог
691,Начальник отдел
692,Тракторист
693,Специалист отдела закупок
694,Завед отд -врач-рефлексотерапевт
695,Уборщик служ помещений
696,Специалист анализа воды
697,Ведущий переводчик языка
698,Врач лаб диагностики
699,Глава
700,Начальник отдела римк
701,Заместитель врача части организации оказания
702,Ио заведующего
703,Главный государственный инженер-инспектор курска
704,Инженер энергетик
705,Заведующий частью образцовый музыкальный театр
706,Заведующая отделением социального обслуживания
707,Архивариус
708,Специалист контролю
709,Бухгалтер учету питания учреждениях
710,Учитель труда
711,Санитар трупов морг ночное время
712,Старшая вожатая библиотекарь
713,Главный специалист реализации целевых программ
714,Председатель контрольно счетной палаты
715,Заведующий
716,Буфетчица отд
717,Ведущий специалист-эксперт отдела
718,Ведущий специалист- эксперт делам пожилых
719,Лаб техник
720,Главный специалист-эксперт отдела планирования исполнения
721,Начальник отдела выплат
722,Ведущий дизайнер
723,Главный специалист-эксперт управления инвестиционной политики
724,Заведующая
725,Заместитель начальника отдела
726,Концертмейстер совместительству
727,Санитар кабинета врача-акушера-гинеколога поликлиники
728,Настройщик инструментов
729,Инженер объединенных служб
730,Начальник штаба обороны чрезвычайных ситуаций
731,Балетмейстер-постановщик
732,Руководитель-ль физ-го воспитания
733,Главный специалист отдел предоставлению выплат
734,Истопник
735,Слесарь-электрик
736,Руководитель центра
737,Хормейстер коллектива фольклорный ансамбль
738,Машинист кочегар
739,Главный специалист-эксперт назначению выплате пособий
740,Преподаватель организатор
741,Начальник отдела транспорта жкх
742,Ведущий экономист договорной работе
743,Методист фонду
744,Начальник отдела использования публикации документов
745,Заведующий -й
746,Воспитатель сопровождающий
747,Заместитель директора- руководитель контрактной службы
748,Главный библиограф
749,Заведующий складом
750,Методист воспитанию
751,Воспитатель направления худ развития
752,Главный конструктор института
753,Лаборант химии
754,Начальник отдела учета
755,Заместитель начальника отдела капиталу
756,Ремонтировщик плоскостных спортивных сооружений
757,Специалист выполнению полномочий
758,Начальник отдела аппарата
759,Слесарь-дорожный рабочий
760,Главный специалист-эксперт труду отдела экономики
761,Провизор
762,Экономист учету анализу хозяйственной деятельности
763,Главный специалист-экономист
764,Администратор оркестра
765,Начальник мку
766,Инженер-проектировщик
767,Преподаватель баяна аккордеона
768,Начальник отдела
769,Заведующий
770,Слесарь- эелектрик ремонту электрооборудования
771,Медсестракабинета
772,Главный специалист-эксперт сфере трудовых отношений
773,Секретарь руководителя
774,Воспитатель специалист
775,Начальник отдела соц обеспечения
776,Раздатчик нефтепродуктов
777,Санитарка палатная
778,Специалист отдела культуры делам молодежи
779,Начальник отряда
780,Начальник центра врач-методист
781,Директор учреждения
782,Главный специалист-эксперт вопросам архитектуры градостроительства
783,Главный консультант отдела финансирования учета
784,Консультант информац обеспечению
785,Мастер хозяйства
786,Художник-гример
787,Учитель истории основ православной культуры
788,Заместитель директора учебно-производственной работе
789,Первый заместитель главы города льгова
790,Заведующий приит
791,Врач-травмотолог-ортопед
792,Рабочий обслуживанию тепловых сетей
793,Пдо воспитанию
794,Начальник упрвления имуществу архитектуре зем
795,Заведующая сектором автоматизации
796,Заместитель директора учету отчетности учреждений
797,Заведующий отделением лучевой диагностики врач-рентгенолог
798,Педагог-преподаватель основам безопасности жизнедеятельности
799,Специалист ответственный обеспечение безопасности движения
800,Заведующая библиотеки чтения
801,Руководитель ансамбля
802,Главный хранитель фондов
803,Инспектор-ведущий специалист-эксперт ревизионной комиссии
804,Заведующая
805,Воспитатель группы
806,Специалист методике клубной работы
807,Старшая пионервожатая
808,Начальник отдела архитектуры строительства
809,Инженер-электроник
810,Ведущий бухгалтер расчетам рабочими служащими
811,Слесарь ремонту обслуживанию систем вентиляции
812,Учитель точка роста
813,Электромонтер рем обслуж оборуд
814,Мероприятия отлову содержанию безнадзорных животных
815,Заместитель начальника управления аграрной политики
816,Буфетчик
817,Ведущий эксперт управления
818,Начальник отдела учета омсу
819,Режисер массовых мероприятий
820,Зубной врач для дет
821,Рабочий стирке специалист одежды
822,Заведующий костюмерной
823,Руководитель центра
824,Заместитель директора руководитель службы обеспечения
825,Артист ведущий мастер сцены
826,Глава
827,Начальник управления организационной работы развития
828,Заведующий отделением-врач-радиотерапевт
829,Ведущий специалист-эксперт опеке попечительству управления
830,Руководитель кружка
831,Врач эксперт
832,Начальник отдела экономического анализа финансирования
833,Заведующий метод кабинетом
834,Главный библиотекарь
835,Консультант аппарата
836,Дежурный корпусу
837,Учитель языка информатики
838,Врач кардиолог
839,Заместитель главы города курска
840,Консультант отдела регулированию
841,Врач травмат -ортопед
842,Преподаватель дисциплин
843,Заведующий отделом культурно-досуговой работы
844,Старший инженер-проектировщик организации движения
845,Заведующий отделом творчества
846,Уборщик производственных служебных помещений
847,Руководитель службы охраны труда
848,Начальник отдела хозяйственного обеспечения
849,Главный специалист-эксперт имущественным земельным правоотношениям
850,Воспиталь зпр
851,Учитель ритмики
852,Начальник отдела информатизации государственных услуг
853,Начальник отдела контроля
854,Глава образования
855,Санитар кабинета отделения
856,Заведующий отделом главный режиссер
857,Электромантер ремонту обсл электроборуд
858,Заместитель директора организации исполнения бюджета
859,Заведующий вет участком
860,Заведующая
861,Руководитель литературно частью
862,Начальник отд соцзащиты населения
863,Контрол
864,Воспитатель группы дня
865,Заместитель начальника управления финансов начальник
866,Специалист жанрам твор-ва
867,Заведующая архивом
868,Консультант труду управления бюджету налогам
869,Главный специалист-эксперт труду
870,Рабочий ремонту оборудования
871,Главный специалист-заместитель начальника отдела программирования
872,Заведующий отделением-врач-ортодонт
873,Начальник отдела молодежной политики спорту
874,Младший воспитатель доп
875,Заведующий архивохранилищем
876,Заведующий -ый пункт
877,Техник защите информации
878,Консультант финансового отдела осуществлению переданных
879,Начальник отдела экономического планирования исполнения
880,Глава
881,Экстренный ренген-лаборант
882,Рентгенлаборант кабинета
883,Начальник отдела обеспечения
884,Руководитель кружка
885,Учитель начальник
886,Начальник отдела автоматизированных систем управления
887,Заместитель директора библиотечной работе
888,Монтажник каркасно--обшивных конструкций
889,Библиотекарь солнечная
890,Ведущий специалист сектора
891,Начальник отдела -врач-методист
892,Врач паллиативной помощи
893,Преподаватель гитары
894,Эксперт хозяйства
895,Ведущий специалист-эксперт отдела договорных расходных
896,Консультант вопросам жкх охраны окружающей
897,Заведующий отделением врач гигиене
898,Водитель автомобиля
899,Режис
900,Методист направленности
901,Помощник
902,Начальник отдела расчетов поставщиками подрядчиками
903,Учитель психолог лаборант
904,Машинит стирке белья ремонту спецодежды
905,Дезинфектор
906,Заведующий хоз
907,Юрист консультант
908,Главный специалист-эксперт эксплуатации инженерных коммуникаций
909,Х-ка
910,Начальник отдела развития инфраструктуры
911,Заведующий отделением
912,Ведущий эксперт управления кадровой организационной
913,Заведующая кабинетом
914,Заведующая учебной частью
915,Логопед-учитель
916,Консультанта жилищно-бытовым вопросам
917,Воспитатель дополнительный
918,Заведующий кафедрой доцент
919,Инжинер-программист отдела обеспечения
920,Начальник отдела финансового хозяйственного учета
921,Главный специалист усзн
922,Секретарь судьи
923,Заведующий отделом работы студентами
924,Министр культуры
925,Врач акушер-гинеколог
926,Начальник административного отдела
927,Начальник центра прикладных квалификаций
928,Учитель старший классов
929,Заведующий аптекой
930,Переплетчик документов
931,Инструктор воспитания
932,Врач-сердечно-сосудистый хирург
933,Заведующий кабинетом профилактики- врач профилактике
934,Обувщик
935,Методист ромц
936,Директор- начальник еддс
937,Преподаватель преподаватели
938,Заведующий
939,Врач паллиат мед помощник
940,Мед сес каб врача-гериатра
941,Врач-терапевт круглосуточный стационар
942,Реставратор художественных изделий декоративных предметов
943,Заведующий мед отделением
944,Оператор очистных сооружений
945,Заместитель начальника единой службы
946,Земеститель главы
947,Профильный труд
948,Специалист обеспечению проживающих нуждающихся жилых
949,Специалист осуществляющий первичный учет
950,Культорганизатор
951,Заместитель директора воспитат работе учитель
952,Заведующая канцелярией
953,Заместитель руководителя службы юридического сопровождения
954,Экономист снабжению
955,Учитель математики
956,Начальник отдела оборудования телефонной связи
957,Техник-электроник
958,Горничная
959,Токарь
960,Заведующий отделом кино-видеообслуживания
961,Заведующая отделением организации предоставления помощи
